title,"name_in_the_communication_poem(字, 別號, 姓+字, or 姓+名)",notes(other name patterns),zi 字,hao 別號,surname_zi 姓+字,all_surnames
中秋見懷,x,,,,,懷;秋
伯和見過,伯和,,伯和,,,和
再謝見寄,?,,,,,謝
別宇文丈,宇文,,,,,宇文;別
別心首座,x,,,,,別
別襄陽帥,x,,,,,別
君章見過,君章,,君章,,,章
呈游大冶,x,,,,,游
呈趙清江,x,,,,,趙
和人見寄,x,,,,,和
和人見貽,x,,,,,和
和人見贈,x,,,,,和
壽吳平江,x,,,,,吳;平;壽
壽施徽州,x,,,,,壽;施
壽昌道中,x,,,,,昌;壽
壽王蘇州,x,,,,,王;蘇;壽
壽王饒州,x,,,,,王;饒;壽
夜行見懷,x,,,,,懷
夜過壽昌,x,,,,,昌;壽
夢見周公,x,,,,,公;周
子似見過,x,,,,,
宜春道上,x,,,,,宜
寄吳鄞縣,x,,,,,吳
寄呂海州,x,,,,,呂
寄心禪人,x,,,,,
寄李處州,x,,,,,李
寄歐陽公,歐陽公,,,,,公;歐陽
寄沈鄱陽,x,,,,,沈
寄獻揚州,x,,,,,
寄王江州,x,,,,,王
寄王濟州,x,,,,,王
寄見首座,x,,,,,
寄趙仁和,x,,,,,趙;和
寄趙湖州,x,,,,,趙
寄趙鄂州,x,,,,,鄂;趙
寄郭衢州,x,,,,,郭
寄馮永州,x,,,,,馮
寄高郵僧,x,,,,,高
寄黄雲心,x,,,,,雲;黃
寄黎眉州,x,,,,,黎
審知見過,x,,,,,
尉氏五題,x,,,,,
嶺上見梅,x,,,,,梅
建昌道上,x,,,,,昌
弔蔣弋陽,x,,,,,蔣
彭州送花,x,,,,,彭
心恥奉檄,x,,,,,
悼舒永豐,x,,,,,豐;舒
懷方嚴州,x,,,,,懷;方;嚴
戲書所見,x,,,,,
戲題所見,x,,,,,
挽何見山,何見山,,,見山,,何;山
挽呂襄陽,x,,,,,呂
挽張雅州,x,,,,,張
挽李小溪,x,,,,,李
挽趙龍泉,x,,,,,趙;龍
挽陳葵心,x,,,,,陳
挽陳邵武,x,,,,,陳;邵;武
撫州上元,x,,,,,元
撫州偶題,x,,,,,
新喻道上,x,,,,,喻
新昌道上,x,,,,,昌
曉發上高,x,,,,,高
書壽昌驛,x,,,,,昌;壽
有懷安國,安國,,安國,,,安;懷
